epoch,train_total_loss,train_clean_full_loss,train_adv_full_loss,train_clean_acc,train_adv_acc,train_proto_clean_ce,train_proto_clean_recon,train_proto_clean_kl,train_proto_clean_ortho,train_proto_adv_ce,train_proto_adv_recon,train_proto_adv_kl,train_proto_adv_ortho,train_senn_clean_nll,train_senn_clean_concept_loss,train_senn_clean_robust_loss,train_senn_clean_recon,train_senn_adv_nll,train_senn_adv_concept_loss,train_senn_adv_robust_loss,train_senn_adv_recon,train_b30_clean_ce,train_b30_clean_e1,train_b30_clean_clst,train_b30_clean_sep,train_b30_clean_recon,train_b30_adv_ce,train_b30_adv_e1,train_b30_adv_clst,train_b30_adv_sep,train_b30_adv_recon,val_total_loss,val_clean_full_loss,val_adv_full_loss,val_clean_acc,val_adv_acc,val_proto_clean_ce,val_proto_clean_recon,val_proto_clean_kl,val_proto_clean_ortho,val_proto_adv_ce,val_proto_adv_recon,val_proto_adv_kl,val_proto_adv_ortho,val_senn_clean_nll,val_senn_clean_concept_loss,val_senn_clean_robust_loss,val_senn_clean_recon,val_senn_adv_nll,val_senn_adv_concept_loss,val_senn_adv_robust_loss,val_senn_adv_recon,val_b30_clean_ce,val_b30_clean_e1,val_b30_clean_clst,val_b30_clean_sep,val_b30_clean_recon,val_b30_adv_ce,val_b30_adv_e1,val_b30_adv_clst,val_b30_adv_sep,val_b30_adv_recon
1,4.323577463626862,1.5165266633033752,2.8070508182048797,0.8746875,0.2766875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130846383670966,0.4998647248993317,10.357730547587076,0.48912174155314764,2.125254622598489,0.5190615308781464,16.273466336727143,0.5090738454212745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3506463805834454,0.8944380939006805,2.456208284695943,0.9543333333333334,0.38925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27787789280215897,0.49876844584941865,11.779175631205241,0.48801184048255286,1.7548359195391336,0.5143912216027577,18.698114744822185,0.5045528064171473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.001833851138751,1.4999932184815408,2.5018406361341476,0.8786875,0.40877083333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9026820326844851,0.49986472229162854,9.744646040598552,0.48912173906962075,1.8313197885950407,0.5120759362975756,15.844491759936014,0.5023376493404309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1292816082636516,0.9020295252402624,2.2272520661354065,0.95075,0.47608333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2873462731639544,0.4987684498230616,11.591480795542399,0.4880118429660797,1.5350703696409862,0.5081134354074796,18.406825510660806,0.4984444056948026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.874934442838033,1.4864606534441311,2.3884737879037856,0.8793541666666667,0.4655625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8898062062760194,0.49986472440262636,9.67897207736969,0.4891217421740294,1.7205810596545537,0.5077017291138569,16.019100995858512,0.49808894818027816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9978891690572103,0.8816644757986069,2.116224698225657,0.9540833333333333,0.5319166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26932612533370653,0.49876845429341,11.356990400950114,0.488011845946312,1.418999151388804,0.5059644331534704,19.126111221313476,0.49638292044401167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.7817739963531496,1.459775980313619,2.3219980200131736,0.8887083333333333,0.5033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8632990196347237,0.4998647237817446,9.661223689715067,0.48912174068391323,1.6514442776640257,0.5072621919214726,16.32915515899658,0.4977283236881097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89142157236735,0.8676744560400645,2.023747128248215,0.9543333333333334,0.5669166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25674201821287473,0.4987684468428294,11.216399478912354,0.48801184197266895,1.3298176487286886,0.5054588501652082,18.84706344604492,0.4959322323401769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.7302469084660212,1.450047073761622,2.2801998416582743,0.8930208333333334,0.5277708333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543724777797858,0.4998647216707468,9.580987906455993,0.4891217394421498,1.6091079081098238,0.5060085177421569,16.508342429002127,0.496528589601318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82400031487147,0.8564968993266423,1.9675034264723459,0.9575,0.5889166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2420487605035305,0.4987684468428294,11.567969020207723,0.488011837999026,1.2648936092853547,0.5043525387843449,19.825728766123454,0.49487568736076354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.681718877951304,1.4421691750486691,2.2395496974388758,0.8967083333333333,0.5461458333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8476536164681117,0.49986472229162854,9.465083678563436,0.48912173956632615,1.5691475927829743,0.5049132390568654,16.5488867799441,0.495475410670042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7656442443529765,0.8457402209440867,1.9199040194352468,0.959,0.6018333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23507119764884313,0.49876845081647236,11.190057214101156,0.4880118409792582,1.2204652746518454,0.5033034568031629,19.613529936472574,0.49386953115463256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.64751867155234,1.4323484629392624,2.2151702125867208,0.8993541666666667,0.5595208333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.838602697600921,0.49986472179492314,9.388104395071666,0.48912173906962075,1.5447858820358913,0.5039153999338547,16.646893775463106,0.4945116382092237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7266575972239178,0.835041665037473,1.8916159311930338,0.96025,0.6273333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22755992238720257,0.49876844535271325,10.871329736709594,0.4880118389924367,1.185968455672264,0.5032964587211609,20.235102621714272,0.4938918794194857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.6257760802904766,1.428456562757492,2.197319518526395,0.9027083333333333,0.5691875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8356545485556126,0.49986472303668655,9.293729346990585,0.4891217400630315,1.5262412334481874,0.5034313909709454,16.764689481258394,0.4940498363226652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6888145248095197,0.8245615631341934,1.8642529606819154,0.9615,0.6331666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204393895963828,0.498768446346124,10.535372447967529,0.4880118409792582,1.163641450802485,0.5021512284874916,19.84602870941162,0.49277336001396177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.596558498342832,1.4204140946269035,2.1761444017291067,0.9031041666666667,0.5796041666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8286139376461505,0.49986472142239413,9.193543632825216,0.4891217384487391,1.5049214457472166,0.5031148761510849,16.810807498296104,0.49375140604873496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662404994169871,0.8239374130964279,1.8384675920009612,0.9595,0.6413333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21856384699543316,0.4987684537967046,10.660511445999145,0.488011845946312,1.1368490328391394,0.5014860595266024,20.013250668843586,0.492122841378053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3.5810892472664517,1.4181496168176333,2.1629396344224614,0.906,0.5848125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8280126266181469,0.49986472427845,9.027226702372234,0.489121741677324,1.4933172389864922,0.5022965433696905,16.73258595863978,0.4929565922667583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6267191926638285,0.8248307903607687,1.8018884042898813,0.9596666666666667,0.6578333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22226970220605533,0.4987684498230616,10.379264386494954,0.48801184395949043,1.1033744424581529,0.5007600863774617,19.775387414296468,0.4914150302608808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
