Epsilon,B30-FT-3
0.0,0.9854
0.025,0.9563
0.05,0.9543
0.07500000000000001,0.9557
0.1,0.9572
0.125,0.9541
0.15000000000000002,0.9495
0.17500000000000002,0.9452
0.2,0.9401
0.225,0.9354
0.25,0.9296
0.275,0.9219
0.30000000000000004,0.9139
0.325,0.8988
0.35000000000000003,0.8249
0.375,0.6367
0.4,0.3625
0.42500000000000004,0.1703
0.45,0.0693
0.47500000000000003,0.0226
0.5,0.0056
0.525,0.001
0.55,0.0001
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
