epoch,train_loss,train_dfl_loss,train_ce_loss,train_mu_mae_raw,train_mu_mae_clamped,train_mu_rmse_clamped,train_mu_corr_clamped,train_target_saturation_rate,train_det_acc,train_mean_acc,val_loss,val_dfl_loss,val_ce_loss,val_mu_mae_raw,val_mu_mae_clamped,val_mu_rmse_clamped,val_mu_corr_clamped,val_target_saturation_rate,val_det_acc,val_mean_acc
1,2.972636692225933,2.972636692225933,1.575337728407855,1.7048553297254774,1.7045648003472222,2.2472522100085817,0.5157497374747267,0.00047222222222222224,0.9977083333333333,0.48089583333333336,2.6509563575188317,2.6509563575188317,0.15619467291980982,1.287000160047743,1.2866510633680555,1.6635944128430789,0.9425772121288001,0.0004638888888888889,0.9905,0.99
2,2.3739471919834614,2.3739471919834614,0.028564576222076237,0.8333843551635742,0.8330938262939453,1.0959679446393875,0.9476962320896721,0.00047222222222222224,0.9977083333333333,0.9975625,2.1556566953659058,2.1556566953659058,0.035479755048678875,0.5323219075520833,0.5319728000217014,0.6659237488559516,0.9799767060690789,0.0004638888888888889,0.9905,0.9900833333333333
3,2.008800288041433,2.008800288041433,0.00767178796453057,0.41547005733913844,0.4151795254177517,0.5490712718857572,0.9818157304096379,0.00047222222222222224,0.9977083333333333,0.9974166666666666,1.8878158604105313,1.8878158604105313,0.03859727398958057,0.323370110405816,0.3230210035536024,0.4445459594080703,0.9865611092479132,0.0004638888888888889,0.9905,0.9900833333333333
4,1.7896888783822458,1.7896888783822458,0.007543164857300629,0.2745488593207465,0.27425832934909394,0.40078333240783526,0.9881819156085676,0.00047222222222222224,0.9977083333333333,0.9975,1.7037207558751106,1.7037207558751106,0.03870831441599876,0.23772632954915365,0.2373772230360243,0.3497677435086643,0.9906271218560223,0.0004638888888888889,0.9905,0.99025
5,1.6293777134269476,1.6293777134269476,0.007408576435712651,0.2019908551534017,0.20170032619900174,0.3206396324713621,0.9918060695719387,0.00047222222222222224,0.9977083333333333,0.9976041666666666,1.56234759837389,1.56234759837389,0.03799372630116219,0.1819716098361545,0.18162250230577257,0.2862527040726802,0.9933465319776695,0.0004638888888888889,0.9905,0.9903333333333333
6,1.5020924204339583,1.5020924204339583,0.007302882907273063,0.1564455623626709,0.15615503175523546,0.2661948494462994,0.9941094282343945,0.00047222222222222224,0.9977083333333333,0.9976875,1.446122335890929,1.446122335890929,0.03740694401009629,0.13517047390407985,0.13482136535644532,0.23480006756064004,0.9954124950684062,0.0004638888888888889,0.9905,0.9905
7,1.3965325150638819,1.3965325150638819,0.007223524261765609,0.1255734873029921,0.12528295737372505,0.22671121956497084,0.9956067071459963,0.00047222222222222224,0.9977083333333333,0.9976666666666667,1.349442978700002,1.349442978700002,0.03679002455828595,0.10799055820041233,0.10764144999186198,0.20220982717364042,0.9965372734360708,0.0004638888888888889,0.9905,0.9904166666666666
8,1.3074292403956254,1.3074292403956254,0.007169099126864846,0.10411032223171658,0.10381979264153375,0.19703548708178348,0.9966152318262327,0.00047222222222222224,0.9977083333333333,0.9976875,1.2671736950675647,1.2671736950675647,0.03642900761042256,0.09575506557888455,0.0954059577094184,0.17995132730125288,0.9971618240960144,0.0004638888888888889,0.9905,0.9905
9,1.2308218888938427,1.2308218888938427,0.007132289362289157,0.08773888583713108,0.08744835590786404,0.17371055431231727,0.9973251600426806,0.00047222222222222224,0.9977083333333333,0.99775,1.195950244863828,1.195950244863828,0.0362015784533772,0.07887380710177952,0.07852469957139757,0.15803740912154585,0.9978082864054045,0.0004638888888888889,0.9905,0.9905
10,1.1641251966357231,1.1641251966357231,0.00711962796322041,0.07486868165334065,0.0745781514485677,0.15456649544619813,0.9978595503999894,0.00047222222222222224,0.9977083333333333,0.9977708333333334,1.133420206606388,1.133420206606388,0.03599378332485988,0.06700717595418294,0.0666580677456326,0.1366398351583596,0.998322444987886,0.0004638888888888889,0.9905,0.9905
11,1.1052889587978523,1.1052889587978523,0.007115503451738429,0.06476672562493219,0.06447619535658095,0.13880826359696113,0.9982535523721914,0.00047222222222222224,0.9977083333333333,0.9977708333333334,1.0782662307222683,1.0782662307222683,0.03594071498567549,0.06015539440578885,0.05980628662109375,0.12692862890505474,0.9985404849961165,0.0004638888888888889,0.9905,0.9905
