Epsilon,B30-Shield
0.0,0.9891
0.025,0.7971
0.05,0.6574
0.07500000000000001,0.6151
0.1,0.5862
0.125,0.5703
0.15000000000000002,0.5553
0.17500000000000002,0.5313
0.2,0.5128
0.225,0.4949
0.25,0.4681
0.275,0.4486
0.30000000000000004,0.4256
0.325,0.3991
0.35000000000000003,0.3796
0.375,0.3505
0.4,0.3205
0.42500000000000004,0.2867
0.45,0.2578
0.47500000000000003,0.2276
0.5,0.2045
0.525,0.1849
0.55,0.1599
0.5750000000000001,0.1456
0.6000000000000001,0.1265
0.625,0.1163
0.65,0.1053
0.675,0.0955
0.7000000000000001,0.0852
0.7250000000000001,0.0812
0.75,0.0707
0.775,0.0666
0.8,0.0627
