epoch,train_loss,train_dfl_loss,train_ce_loss,train_mu_mae_raw,train_mu_mae_clamped,train_mu_rmse_clamped,train_mu_corr_clamped,train_target_saturation_rate,train_det_acc,train_mean_acc,val_loss,val_dfl_loss,val_ce_loss,val_mu_mae_raw,val_mu_mae_clamped,val_mu_rmse_clamped,val_mu_corr_clamped,val_target_saturation_rate,val_det_acc,val_mean_acc
1,2.870463792234659,2.870463792234659,2.307284493930638,1.5881732391357422,1.5881717030843099,2.07213027231018,0.1654353457662131,8.333333333333334e-06,0.9875416666666667,0.2751875,2.5101176848014197,2.5101176848014197,0.34537871181964874,1.0701648261176215,1.070163134765625,1.374712897148955,0.938314994490359,1.1111111111111112e-05,0.9801666666666666,0.9781666666666666
2,2.235886374488473,2.235886374488473,0.09849432179665503,0.6893374688042535,0.6893359336005317,0.9115020860964447,0.9474462987219268,8.333333333333334e-06,0.9875416666666667,0.9873958333333334,2.0076202924052873,2.0076202924052873,0.07077993479712556,0.4430697523328993,0.44306805962456597,0.5734669421748398,0.9777706968359553,1.1111111111111112e-05,0.9801666666666666,0.9800833333333333
3,1.85934009278814,1.85934009278814,0.04435460441648805,0.3469350435892741,0.3469335073682997,0.4741167452276552,0.9797885734757825,8.333333333333334e-06,0.9875416666666667,0.9876875,1.7299844846129417,1.7299844846129417,0.0675046844407916,0.27383668009440104,0.2738349884033203,0.38953715472645306,0.9841193783936877,1.1111111111111112e-05,0.9801666666666666,0.9799166666666667
4,1.6346090914060671,1.6346090914060671,0.04217446669160078,0.23073869552612306,0.2307371593899197,0.34979809062754846,0.9862803648737959,8.333333333333334e-06,0.9875416666666667,0.9876458333333333,1.545476384460926,1.545476384460926,0.0673090951750055,0.19417577175564235,0.19417408040364584,0.3075431600466458,0.9888108541739591,1.1111111111111112e-05,0.9801666666666666,0.98025
5,1.4750332739204168,1.4750332739204168,0.041777173319133,0.17051665064493815,0.17051511442396375,0.2827624693771619,0.9902863018569144,8.333333333333334e-06,0.9875416666666667,0.9877083333333333,1.406532237927119,1.406532237927119,0.06711092835757881,0.14675172610812717,0.14675003407796225,0.25409983372244777,0.9919697380249659,1.1111111111111112e-05,0.9801666666666666,0.9803333333333333
6,1.3505117831130822,1.3505117831130822,0.04164341831832038,0.1338617330763075,0.13386019681294758,0.2369061005014364,0.9929174701895581,8.333333333333334e-06,0.9875416666666667,0.9876666666666667,1.2947410692771275,1.2947410692771275,0.0669502421709088,0.11856504584418402,0.1185633541531033,0.21256555600704913,0.9941788069092676,1.1111111111111112e-05,0.9801666666666666,0.98025
7,1.248442795748512,1.248442795748512,0.041605751699535176,0.1081065187242296,0.10810498258802625,0.20166458549161256,0.9947541534121511,8.333333333333334e-06,0.9875416666666667,0.9876458333333333,1.2023229549328487,1.2023229549328487,0.0668376765679568,0.09757287936740451,0.09757118801540798,0.18312938211902596,0.9955831769871099,1.1111111111111112e-05,0.9801666666666666,0.98025
8,1.162537067507704,1.162537067507704,0.041618733671687856,0.08942535120646158,0.08942381494310167,0.17475097271962778,0.9959973280979572,8.333333333333334e-06,0.9875416666666667,0.987625,1.1228994329770405,1.1228994329770405,0.06676553888246417,0.08154430830213759,0.08154261678059896,0.1599598142040798,0.9965931124914145,1.1111111111111112e-05,0.9801666666666666,0.9804166666666667
9,1.0894050368418295,1.0894050368418295,0.04162705285610476,0.0753625386344062,0.07536100237104627,0.15361382171434468,0.9968704812561735,8.333333333333334e-06,0.9875416666666667,0.987625,1.0553518856565158,1.0553518856565158,0.06672705166662733,0.06788655929565429,0.06788486794365776,0.13828306824565745,0.9974116754363419,1.1111111111111112e-05,0.9801666666666666,0.9804166666666667
10,1.0264969828228157,1.0264969828228157,0.04167584474877609,0.06433927205403646,0.06433773596021865,0.13656206278824332,0.9975023004996271,8.333333333333334e-06,0.9875416666666667,0.9875833333333334,0.997235395014286,0.997235395014286,0.06674812726366024,0.06097964502970377,0.060977953592936195,0.12652405683227097,0.9978247379882189,1.1111111111111112e-05,0.9801666666666666,0.9804166666666667
11,0.9718817205478748,0.9718817205478748,0.041709434047030904,0.055975120141771105,0.05597358400556776,0.12247855383662407,0.9979733370194941,8.333333333333334e-06,0.9875416666666667,0.9876041666666666,0.9458417048056921,0.9458417048056921,0.06672213296405971,0.05015937762790256,0.05015768610636393,0.11232285589564192,0.9982891693524325,1.1111111111111112e-05,0.9801666666666666,0.9803333333333333
12,0.9241959868619839,0.9241959868619839,0.04175042138861803,0.048756026543511286,0.048754490364922416,0.1103800877614982,0.9983424419673034,8.333333333333334e-06,0.9875416666666667,0.9875625,0.9018966183066368,0.9018966183066368,0.06675960612483323,0.045371588473849825,0.045369897037082246,0.10448797820774448,0.9984992153543437,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666
13,0.8822061481575171,0.8822061481575171,0.04178974281967385,0.043129414007398816,0.043127877913581,0.10054859307780886,0.9986160494732731,8.333333333333334e-06,0.9875416666666667,0.9875833333333334,0.8620400515695413,0.8620400515695413,0.066758704604581,0.041414739651150174,0.041413048214382596,0.09684360690067159,0.9987141485401585,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666
14,0.8450570345545808,0.8450570345545808,0.04181868774079097,0.03808311329947578,0.03808157714207967,0.09158345925412417,0.9988463953184276,8.333333333333334e-06,0.9875416666666667,0.9875625,0.8274891376495361,0.8274891376495361,0.06677018175832927,0.03747529712253147,0.03747360577053494,0.08698667354511208,0.9989409738199425,1.1111111111111112e-05,0.9801666666666666,0.9800833333333333
15,0.8122161601980528,0.8122161601980528,0.04185156191912635,0.03452319402694702,0.03452165789074368,0.08482352319121339,0.999004106232947,8.333333333333334e-06,0.9875416666666667,0.9875208333333333,0.7963059755663077,0.7963059755663077,0.06677489079690228,0.031818973456488715,0.031817281934950085,0.07593812695433239,0.9991965608265476,1.1111111111111112e-05,0.9801666666666666,0.9800833333333333
16,0.7828465333829323,0.7828465333829323,0.04187685775589974,0.03079611547258165,0.03079457934697469,0.07758912672537685,0.9991636900295348,8.333333333333334e-06,0.9875416666666667,0.9875833333333334,0.7684030011296272,0.7684030011296272,0.06678453545706968,0.02782480392456055,0.02782311240302192,0.07253973219277134,0.9992681684844349,1.1111111111111112e-05,0.9801666666666666,0.9800833333333333
17,0.7566947629675269,0.7566947629675269,0.04189370797636608,0.027938878218332925,0.027937342082129585,0.07194440852618046,0.9992780686320973,8.333333333333334e-06,0.9875416666666667,0.9875833333333334,0.7436474139491717,0.7436474139491717,0.06679110578261316,0.02811931029425727,0.028117618899875216,0.07095515568730688,0.9992966034129886,1.1111111111111112e-05,0.9801666666666666,0.9800833333333333
18,0.7332409067700306,0.7332409067700306,0.041912283176012956,0.025372186406453452,0.025370650259653727,0.06656883333488857,0.999379541981648,8.333333333333334e-06,0.9875416666666667,0.9875833333333334,0.7216354931394259,0.7216354931394259,0.06679325298561405,0.024917131932576497,0.02491544058057997,0.06759310603950767,0.9993616299376015,1.1111111111111112e-05,0.9801666666666666,0.9800833333333333
19,0.7123001487925649,0.7123001487925649,0.041928101704494715,0.023248225604163276,0.023246689489152695,0.061769640730376975,0.9994642875514993,8.333333333333334e-06,0.9875416666666667,0.9875625,0.7016702766219775,0.7016702766219775,0.06679481772395472,0.02188846232096354,0.021886770884195963,0.058810772058189985,0.9995154035069547,1.1111111111111112e-05,0.9801666666666666,0.9801666666666666
