Epsilon,B30-FT-2
0.0,0.9868
0.025,0.9617
0.05,0.9604
0.07500000000000001,0.9603
0.1,0.9559
0.125,0.9522
0.15000000000000002,0.9495
0.17500000000000002,0.9443
0.2,0.9397
0.225,0.9339
0.25,0.9281
0.275,0.9203
0.30000000000000004,0.9087
0.325,0.8512
0.35000000000000003,0.6509
0.375,0.3314
0.4,0.1239
0.42500000000000004,0.0433
0.45,0.0128
0.47500000000000003,0.0041
0.5,0.0027
0.525,0.0006
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0001
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0001
0.75,0.0
0.775,0.0
0.8,0.0
