Epsilon,B30-FT-2
0.0,0.9868
0.025,0.9614
0.05,0.96
0.07500000000000001,0.9581
0.1,0.9549
0.125,0.9515
0.15000000000000002,0.9501
0.17500000000000002,0.9453
0.2,0.9407
0.225,0.9342
0.25,0.9279
0.275,0.9192
0.30000000000000004,0.9101
0.325,0.8522
0.35000000000000003,0.6465
0.375,0.3275
0.4,0.1225
0.42500000000000004,0.0441
0.45,0.015
0.47500000000000003,0.0043
0.5,0.0024
0.525,0.0007
0.55,0.0002
0.5750000000000001,0.0001
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
