Epsilon,B30-FT-3
0.0,0.9854
0.025,0.9567
0.05,0.953
0.07500000000000001,0.957
0.1,0.9571
0.125,0.954
0.15000000000000002,0.9504
0.17500000000000002,0.9445
0.2,0.9388
0.225,0.9351
0.25,0.9289
0.275,0.9231
0.30000000000000004,0.9145
0.325,0.9018
0.35000000000000003,0.825
0.375,0.633
0.4,0.3599
0.42500000000000004,0.1713
0.45,0.0662
0.47500000000000003,0.0208
0.5,0.0055
0.525,0.0006
0.55,0.0001
0.5750000000000001,0.0001
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
