Epsilon,ProtoVAE-FT-1
0.0,0.9714
0.025,0.919
0.05,0.7959
0.07500000000000001,0.604
0.1,0.3037
0.125,0.1333
0.15000000000000002,0.0784
0.17500000000000002,0.059
0.2,0.0431
0.225,0.0196
0.25,0.0068
0.275,0.0023
0.30000000000000004,0.0009
0.325,0.0003
0.35000000000000003,0.0
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0002
0.6000000000000001,0.0007
0.625,0.0027
0.65,0.0062
0.675,0.014
0.7000000000000001,0.0223
0.7250000000000001,0.0332
0.75,0.0483
0.775,0.0626
0.8,0.0747
