Epsilon,RB30
0.0,0.9849
0.05,0.8353
0.1,0.4914
0.15000000000000002,0.2113
0.2,0.057
0.25,0.0185
0.30000000000000004,0.0041
0.35000000000000003,0.0001
0.4,0.0
