Epsilon,B30-FT-2
0.0,0.9868
0.025,0.9608
0.05,0.9611
0.07500000000000001,0.9585
0.1,0.9558
0.125,0.9534
0.15000000000000002,0.9481
0.17500000000000002,0.9462
0.2,0.9404
0.225,0.933
0.25,0.9273
0.275,0.9188
0.30000000000000004,0.9096
0.325,0.8523
0.35000000000000003,0.649
0.375,0.325
0.4,0.1247
0.42500000000000004,0.0435
0.45,0.014
0.47500000000000003,0.0035
0.5,0.0029
0.525,0.0005
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
