Epsilon,B30-FT-0
0.0,0.9852
0.025,0.9537
0.05,0.9526
0.07500000000000001,0.9563
0.1,0.9556
0.125,0.9522
0.15000000000000002,0.9484
0.17500000000000002,0.944
0.2,0.9419
0.225,0.9377
0.25,0.9324
0.275,0.9258
0.30000000000000004,0.9169
0.325,0.8967
0.35000000000000003,0.8125
0.375,0.5932
0.4,0.3298
0.42500000000000004,0.1497
0.45,0.051
0.47500000000000003,0.0155
0.5,0.0038
0.525,0.0006
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
