Epsilon,RB30
0.0,0.9849
0.025,0.9853
0.05,0.9848000000000001
0.07500000000000001,0.9851000000000001
0.1,0.9850000000000001
0.125,0.9849000000000002
0.15000000000000002,0.9850000000000001
0.17500000000000002,0.9853
0.2,0.9843999999999999
0.225,0.9834999999999999
0.25,0.9846
0.275,0.9843
0.30000000000000004,0.9849000000000002
0.325,0.9833999999999999
0.35000000000000003,0.9838999999999999
0.375,0.9819999999999999
0.4,0.9825999999999999
0.42500000000000004,0.9789999999999999
0.45,0.9718999999999998
0.47500000000000003,0.9468000000000003
0.5,0.9052999999999999
0.525,0.8413
0.55,0.7717000000000002
0.5750000000000001,0.6935999999999998
0.6000000000000001,0.6101000000000001
0.625,0.5113000000000001
0.65,0.4304000000000001
0.675,0.3461
0.7000000000000001,0.2811
0.7250000000000001,0.22740000000000005
0.75,0.19840000000000002
0.775,0.1716
0.8,0.15729999999999997
