Epsilon,RS30
0.0,0.9869999999999999
0.025,0.9837
0.05,0.9800999999999996
0.07500000000000001,0.9764999999999997
0.1,0.9715999999999999
0.125,0.9669000000000001
0.15000000000000002,0.961
0.17500000000000002,0.9561
0.2,0.9483999999999995
0.225,0.9409000000000001
0.25,0.9341000000000002
0.275,0.9244
0.30000000000000004,0.9090000000000001
0.325,0.8461000000000001
0.35000000000000003,0.6935
0.375,0.43770000000000014
0.4,0.24369999999999994
0.42500000000000004,0.13510000000000003
0.45,0.08740000000000006
0.47500000000000003,0.05380000000000003
0.5,0.027200000000000012
0.525,0.0056000000000000025
0.55,0.0032000000000000006
0.5750000000000001,0.002300000000000001
0.6000000000000001,0.0012000000000000003
0.625,0.0006000000000000001
0.65,0.0010000000000000002
0.675,0.0004
0.7000000000000001,0.0008
0.7250000000000001,0.0007
0.75,0.0002
0.775,0.0
0.8,0.0
