Epsilon,SENN_0_1
0.0,0.9075999999999999
0.025,0.866
0.05,0.8154000000000001
0.07500000000000001,0.7545000000000002
0.1,0.678
0.125,0.5771999999999999
0.15000000000000002,0.4450000000000001
0.17500000000000002,0.2845000000000001
0.2,0.16190000000000002
0.225,0.07270000000000004
0.25,0.028600000000000014
0.275,0.007200000000000003
0.30000000000000004,0.0017000000000000008
0.325,0.0
0.35000000000000003,0.0
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
