Epsilon,FTB30n
0.0,0.9837999999999999
0.025,0.8931000000000002
0.05,0.8874000000000004
0.07500000000000001,0.9100000000000004
0.1,0.9199000000000004
0.125,0.9221000000000001
0.15000000000000002,0.9195
0.17500000000000002,0.9183999999999999
0.2,0.9085000000000004
0.225,0.9040000000000001
0.25,0.9009
0.275,0.8859999999999998
0.30000000000000004,0.8723000000000001
0.325,0.732
0.35000000000000003,0.3052
0.375,0.09030000000000005
0.4,0.013300000000000006
0.42500000000000004,0.0012000000000000001
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
