Epsilon,RB30
0.0,0.9849
0.025,0.9833000000000002
0.05,0.9814999999999998
0.07500000000000001,0.9795999999999999
0.1,0.9784999999999998
0.125,0.9766999999999999
0.15000000000000002,0.9747
0.17500000000000002,0.9728999999999999
0.2,0.9703000000000002
0.225,0.9669999999999999
0.25,0.9650000000000001
0.275,0.9629000000000001
0.30000000000000004,0.9578999999999998
0.325,0.9479
0.35000000000000003,0.9039000000000001
0.375,0.7722999999999999
0.4,0.5025000000000002
0.42500000000000004,0.24630000000000002
0.45,0.08800000000000005
0.47500000000000003,0.02580000000000001
0.5,0.008900000000000003
0.525,0.003300000000000001
0.55,0.0017000000000000008
0.5750000000000001,0.0007
0.6000000000000001,0.00030000000000000003
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0001
0.75,0.0001
0.775,0.0002
0.8,0.0
