Epsilon,RB30
0.0,0.9848999999999999
0.025,0.9808999999999999
0.05,0.9778000000000002
0.07500000000000001,0.9729999999999999
0.1,0.9687999999999999
0.125,0.9631999999999998
0.15000000000000002,0.9573
0.17500000000000002,0.9495999999999999
0.2,0.9420000000000004
0.225,0.9353000000000004
0.25,0.9254999999999999
0.275,0.915
0.30000000000000004,0.9000000000000004
0.325,0.7665
0.35000000000000003,0.352
0.375,0.052100000000000035
0.4,0.005100000000000002
0.42500000000000004,0.0005
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
