Epsilon,SENN_0_01
0.0,0.9720000000000001
0.025,0.9526999999999998
0.05,0.9178000000000003
0.07500000000000001,0.865
0.1,0.7779999999999998
0.125,0.647
0.15000000000000002,0.47830000000000006
0.17500000000000002,0.3147
0.2,0.18340000000000006
0.225,0.08880000000000006
0.25,0.03240000000000002
0.275,0.010300000000000005
0.30000000000000004,0.0034000000000000002
0.325,0.0005
0.35000000000000003,0.0
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
