Epsilon,FTB30p
0.0,0.9843
0.025,0.9402000000000001
0.05,0.9405999999999999
0.07500000000000001,0.9375000000000002
0.1,0.9334000000000001
0.125,0.9278000000000001
0.15000000000000002,0.9232000000000001
0.17500000000000002,0.9202
0.2,0.9158999999999999
0.225,0.9112000000000002
0.25,0.9073000000000004
0.275,0.9043000000000003
0.30000000000000004,0.8990000000000002
0.325,0.8607000000000002
0.35000000000000003,0.7421
0.375,0.5727
0.4,0.4293
0.42500000000000004,0.3328000000000001
0.45,0.27370000000000005
0.47500000000000003,0.22979999999999995
0.5,0.19519999999999998
0.525,0.16660000000000003
0.55,0.1455
0.5750000000000001,0.12780000000000002
0.6000000000000001,0.11450000000000007
0.625,0.10560000000000003
0.65,0.10150000000000006
0.675,0.09690000000000006
0.7000000000000001,0.09570000000000005
0.7250000000000001,0.09660000000000005
0.75,0.09650000000000006
0.775,0.09500000000000006
0.8,0.09470000000000005
