Epsilon,B30
0.0,0.9926
0.025,0.9870999999999999
0.05,0.986
0.07500000000000001,0.9842999999999996
0.1,0.9813999999999998
0.125,0.9742000000000001
0.15000000000000002,0.9666
0.17500000000000002,0.9493999999999998
0.2,0.9196000000000002
0.225,0.8778
0.25,0.8220000000000003
0.275,0.7568000000000001
0.30000000000000004,0.6891
0.325,0.6202999999999996
0.35000000000000003,0.5523000000000001
0.375,0.49319999999999986
0.4,0.44010000000000027
0.42500000000000004,0.3924000000000002
0.45,0.35870000000000013
0.47500000000000003,0.3108000000000001
0.5,0.27759999999999996
0.525,0.2541
0.55,0.22759999999999997
0.5750000000000001,0.20290000000000002
0.6000000000000001,0.18889999999999998
0.625,0.1724
0.65,0.1638
0.675,0.15660000000000002
0.7000000000000001,0.14790000000000003
0.7250000000000001,0.13999999999999999
0.75,0.12880000000000003
0.775,0.12910000000000005
0.8,0.12610000000000002
