Epsilon,SENN_0_01
0.0,0.9720000000000002
0.025,0.9496
0.05,0.9063000000000002
0.07500000000000001,0.8373000000000002
0.1,0.7266999999999997
0.125,0.5658
0.15000000000000002,0.3808
0.17500000000000002,0.23710000000000003
0.2,0.11290000000000004
0.225,0.039900000000000026
0.25,0.011200000000000005
0.275,0.0029000000000000007
0.30000000000000004,0.00030000000000000003
0.325,0.0
0.35000000000000003,0.0
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
