Epsilon,SENN_0_01
0.0,0.9720000000000001
0.025,0.9541000000000004
0.05,0.9256000000000002
0.07500000000000001,0.8841000000000001
0.1,0.8215999999999999
0.125,0.7333999999999999
0.15000000000000002,0.6203999999999998
0.17500000000000002,0.4856
0.2,0.3530000000000001
0.225,0.2493
0.25,0.1672
0.275,0.10470000000000006
0.30000000000000004,0.06050000000000003
0.325,0.03680000000000002
0.35000000000000003,0.02390000000000001
0.375,0.015400000000000007
0.4,0.011300000000000004
0.42500000000000004,0.007700000000000003
0.45,0.006300000000000003
0.47500000000000003,0.0056000000000000025
0.5,0.004900000000000002
0.525,0.003600000000000001
0.55,0.003100000000000001
0.5750000000000001,0.002900000000000001
0.6000000000000001,0.002900000000000001
0.625,0.003000000000000002
0.65,0.0028000000000000013
0.675,0.0026000000000000007
0.7000000000000001,0.0024000000000000007
0.7250000000000001,0.002500000000000001
0.75,0.002500000000000001
0.775,0.003100000000000001
0.8,0.0036000000000000016
