Epsilon,SENN_0_01
0.0,0.9720000000000002
0.025,0.9631999999999998
0.05,0.9503999999999999
0.07500000000000001,0.9319
0.1,0.9089000000000003
0.125,0.8802999999999999
0.15000000000000002,0.8373999999999999
0.17500000000000002,0.7809
0.2,0.708
0.225,0.6167999999999999
0.25,0.511
0.275,0.41140000000000027
0.30000000000000004,0.3266
0.325,0.24630000000000002
0.35000000000000003,0.1728
0.375,0.11220000000000001
0.4,0.06670000000000004
0.42500000000000004,0.036700000000000024
0.45,0.02190000000000001
0.47500000000000003,0.011300000000000006
0.5,0.005000000000000003
0.525,0.0024000000000000007
0.55,0.00030000000000000003
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
