Epsilon,RS30
0.0,0.9869999999999999
0.025,0.9835999999999997
0.05,0.9802
0.07500000000000001,0.9763999999999999
0.1,0.9721999999999997
0.125,0.9678000000000001
0.15000000000000002,0.9623999999999999
0.17500000000000002,0.958
0.2,0.9517
0.225,0.9454999999999998
0.25,0.9387000000000001
0.275,0.9309000000000003
0.30000000000000004,0.9226999999999999
0.325,0.9013
0.35000000000000003,0.8692
0.375,0.8171000000000002
0.4,0.7501000000000003
0.42500000000000004,0.6668999999999999
0.45,0.5772
0.47500000000000003,0.49390000000000017
0.5,0.4182
0.525,0.3521
0.55,0.28559999999999997
0.5750000000000001,0.22960000000000003
0.6000000000000001,0.18280000000000002
0.625,0.1411
0.65,0.10440000000000008
0.675,0.07640000000000005
0.7000000000000001,0.05870000000000003
0.7250000000000001,0.05360000000000002
0.75,0.049700000000000036
0.775,0.04690000000000003
0.8,0.044200000000000024
