Epsilon,RS30
0.0,0.9869999999999998
0.025,0.9834999999999999
0.05,0.9801000000000002
0.07500000000000001,0.9764999999999999
0.1,0.9712000000000002
0.125,0.9671000000000001
0.15000000000000002,0.9614
0.17500000000000002,0.9556000000000002
0.2,0.9497
0.225,0.9432000000000003
0.25,0.9369999999999997
0.275,0.9302000000000001
0.30000000000000004,0.9206999999999999
0.325,0.9087999999999999
0.35000000000000003,0.8953
0.375,0.8780999999999999
0.4,0.8590000000000003
0.42500000000000004,0.8355
0.45,0.8059
0.47500000000000003,0.7681000000000002
0.5,0.7256000000000001
0.525,0.6688999999999999
0.55,0.5986999999999999
0.5750000000000001,0.5129000000000001
0.6000000000000001,0.41000000000000014
0.625,0.29080000000000006
0.65,0.1792
0.675,0.10370000000000006
0.7000000000000001,0.08860000000000004
0.7250000000000001,0.08760000000000005
0.75,0.08740000000000006
0.775,0.08750000000000005
0.8,0.08710000000000005
