Epsilon,Prob_PSENN
0.0,0.11000000000000001
0.025,0.10990000000000004
0.05,0.10890000000000004
0.07500000000000001,0.11180000000000004
0.1,0.10670000000000006
0.125,0.10930000000000004
0.15000000000000002,0.11040000000000003
0.17500000000000002,0.11000000000000006
0.2,0.10810000000000006
0.225,0.10450000000000007
0.25,0.10750000000000004
0.275,0.10490000000000006
0.30000000000000004,0.10520000000000007
0.325,0.10940000000000003
0.35000000000000003,0.10430000000000006
0.375,0.10330000000000006
0.4,0.10530000000000006
0.42500000000000004,0.10620000000000004
0.45,0.10500000000000007
0.47500000000000003,0.10590000000000006
0.5,0.10430000000000006
0.525,0.10580000000000005
0.55,0.10480000000000007
0.5750000000000001,0.10550000000000007
0.6000000000000001,0.10430000000000006
0.625,0.10410000000000005
0.65,0.10230000000000006
0.675,0.10270000000000006
0.7000000000000001,0.10260000000000007
0.7250000000000001,0.10390000000000006
0.75,0.10210000000000005
0.775,0.10260000000000007
0.8,0.10520000000000007
