Epsilon,SENN_0_01
0.0,0.9719999999999998
0.025,0.9715999999999999
0.05,0.9706999999999997
0.07500000000000001,0.9698999999999998
0.1,0.9684999999999997
0.125,0.9678000000000001
0.15000000000000002,0.9671999999999998
0.17500000000000002,0.9662999999999998
0.2,0.9641000000000002
0.225,0.9636999999999999
0.25,0.9600000000000003
0.275,0.9573999999999998
0.30000000000000004,0.9555000000000001
0.325,0.9515
0.35000000000000003,0.9472000000000002
0.375,0.9416
0.4,0.9372
0.42500000000000004,0.9317
0.45,0.9213000000000001
0.47500000000000003,0.9137000000000001
0.5,0.8999000000000003
0.525,0.8869
0.55,0.8669000000000002
0.5750000000000001,0.8509000000000002
0.6000000000000001,0.8276999999999999
0.625,0.8028000000000001
0.65,0.7730000000000001
0.675,0.7491000000000001
0.7000000000000001,0.7287000000000001
0.7250000000000001,0.7011999999999999
0.75,0.6804000000000001
0.775,0.6582000000000001
0.8,0.6343999999999999
