Epsilon,S30
0.0,0.9917
0.025,0.7821
0.05,0.6442
0.07500000000000001,0.5319000000000002
0.1,0.43900000000000006
0.125,0.3649000000000001
0.15000000000000002,0.3054
0.17500000000000002,0.259
0.2,0.22310000000000002
0.225,0.1927
0.25,0.1707
0.275,0.15560000000000002
0.30000000000000004,0.1443
0.325,0.13190000000000002
0.35000000000000003,0.12010000000000005
0.375,0.11360000000000006
0.4,0.10640000000000008
0.42500000000000004,0.10100000000000006
0.45,0.09840000000000006
0.47500000000000003,0.09620000000000005
0.5,0.09560000000000005
0.525,0.09310000000000006
0.55,0.09340000000000007
0.5750000000000001,0.09280000000000005
0.6000000000000001,0.09360000000000004
0.625,0.09480000000000005
0.65,0.09390000000000005
0.675,0.09290000000000005
0.7000000000000001,0.09520000000000005
0.7250000000000001,0.09660000000000005
0.75,0.09610000000000005
0.775,0.09680000000000005
0.8,0.09740000000000006
