Epsilon,FTB30n
0.0,0.9837999999999999
0.025,0.8911000000000001
0.05,0.8579000000000001
0.07500000000000001,0.8525
0.1,0.8360999999999998
0.125,0.8297000000000001
0.15000000000000002,0.8106
0.17500000000000002,0.8346
0.2,0.8285000000000003
0.225,0.8284000000000002
0.25,0.8167999999999997
0.275,0.805
0.30000000000000004,0.7889000000000002
0.325,0.7306
0.35000000000000003,0.5985
0.375,0.40650000000000003
0.4,0.1555
0.42500000000000004,0.08240000000000004
0.45,0.04270000000000003
0.47500000000000003,0.02040000000000001
0.5,0.0073000000000000035
0.525,0.0005
0.55,0.0002
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0001
0.7000000000000001,0.0002
0.7250000000000001,0.0006000000000000001
0.75,0.0001
0.775,0.0002
0.8,0.0
