Epsilon,B30
0.0,0.9925999999999998
0.025,0.6706999999999999
0.05,0.30810000000000004
0.07500000000000001,0.10150000000000006
0.1,0.036600000000000014
0.125,0.016500000000000008
0.15000000000000002,0.007800000000000004
0.17500000000000002,0.004500000000000002
0.2,0.0022000000000000006
0.225,0.0013000000000000002
0.25,0.0008
0.275,0.0005
0.30000000000000004,0.0005
0.325,0.0004
0.35000000000000003,0.00030000000000000003
0.375,0.00030000000000000003
0.4,0.00030000000000000003
0.42500000000000004,0.0002
0.45,0.0002
0.47500000000000003,0.0002
0.5,0.0002
0.525,0.0001
0.55,0.0001
0.5750000000000001,0.0001
0.6000000000000001,0.0001
0.625,0.0001
0.65,0.0001
0.675,0.0001
0.7000000000000001,0.0001
0.7250000000000001,0.0001
0.75,0.0001
0.775,0.0001
0.8,0.0001
