Epsilon,FTB30n
0.0,0.9837999999999998
0.025,0.8649000000000002
0.05,0.8158
0.07500000000000001,0.7989999999999998
0.1,0.7798
0.125,0.7628
0.15000000000000002,0.7438999999999999
0.17500000000000002,0.7215000000000001
0.2,0.6983999999999999
0.225,0.6744000000000001
0.25,0.6492999999999999
0.275,0.6263
0.30000000000000004,0.6031999999999998
0.325,0.5288999999999999
0.35000000000000003,0.3929000000000001
0.375,0.2837
0.4,0.22210000000000002
0.42500000000000004,0.17260000000000006
0.45,0.1335
0.47500000000000003,0.10160000000000007
0.5,0.07770000000000003
0.525,0.05720000000000003
0.55,0.04120000000000002
0.5750000000000001,0.028000000000000014
0.6000000000000001,0.01840000000000001
0.625,0.013700000000000007
0.65,0.011600000000000004
0.675,0.009700000000000004
0.7000000000000001,0.009400000000000002
0.7250000000000001,0.009100000000000004
0.75,0.008700000000000003
0.775,0.008600000000000003
0.8,0.008600000000000002
