Epsilon,FTB30p
0.0,0.9842999999999998
0.025,0.9270999999999999
0.05,0.9501000000000002
0.07500000000000001,0.9613999999999999
0.1,0.9659000000000001
0.125,0.9663
0.15000000000000002,0.9652
0.17500000000000002,0.9627999999999999
0.2,0.9621000000000001
0.225,0.9607999999999999
0.25,0.9568
0.275,0.9546999999999999
0.30000000000000004,0.9491000000000003
0.325,0.9400000000000001
0.35000000000000003,0.9045
0.375,0.8355
0.4,0.6945000000000001
0.42500000000000004,0.5036
0.45,0.32160000000000005
0.47500000000000003,0.18549999999999994
0.5,0.10420000000000007
0.525,0.05940000000000003
0.55,0.029200000000000014
0.5750000000000001,0.013300000000000006
0.6000000000000001,0.0056000000000000025
0.625,0.0028000000000000013
0.65,0.0008
0.675,0.0001
0.7000000000000001,0.00030000000000000003
0.7250000000000001,0.0005
0.75,0.00030000000000000003
0.775,0.0001
0.8,0.00030000000000000003
