Epsilon,RS30
0.0,0.9869999999999998
0.025,0.9872999999999997
0.05,0.9870999999999999
0.07500000000000001,0.9871999999999999
0.1,0.9871999999999996
0.125,0.9863
0.15000000000000002,0.9867999999999999
0.17500000000000002,0.9864
0.2,0.9870999999999999
0.225,0.9868999999999998
0.25,0.9865999999999998
0.275,0.9874
0.30000000000000004,0.9863
0.325,0.9865999999999998
0.35000000000000003,0.9868000000000002
0.375,0.9877000000000002
0.4,0.9840999999999998
0.42500000000000004,0.9811999999999997
0.45,0.9777000000000001
0.47500000000000003,0.9664000000000001
0.5,0.9289000000000002
0.525,0.8592999999999998
0.55,0.7617000000000002
0.5750000000000001,0.6516999999999998
0.6000000000000001,0.5575
0.625,0.4783000000000001
0.65,0.4144000000000001
0.675,0.36000000000000004
0.7000000000000001,0.3128
0.7250000000000001,0.28220000000000006
0.75,0.2591
0.775,0.23949999999999996
0.8,0.21950000000000003
