Epsilon,ProtoVAE
0.0,0.9915999999999998
0.025,0.9914999999999999
0.05,0.9912000000000001
0.07500000000000001,0.9906
0.1,0.9901000000000002
0.125,0.9897
0.15000000000000002,0.9886999999999999
0.17500000000000002,0.9887
0.2,0.9865
0.225,0.9853999999999997
0.25,0.9824999999999999
0.275,0.9802
0.30000000000000004,0.9762000000000001
0.325,0.9697000000000001
0.35000000000000003,0.9597
0.375,0.9465999999999999
0.4,0.9289
0.42500000000000004,0.9020000000000001
0.45,0.8677000000000005
0.47500000000000003,0.8271000000000001
0.5,0.7876000000000001
0.525,0.7398
0.55,0.6942000000000002
0.5750000000000001,0.6420999999999997
0.6000000000000001,0.5949000000000001
0.625,0.5419
0.65,0.4871
0.675,0.43679999999999986
0.7000000000000001,0.3903000000000001
0.7250000000000001,0.3475000000000001
0.75,0.30839999999999995
0.775,0.2744000000000001
0.8,0.2432
