Epsilon,S30
0.0,0.9917000000000001
0.025,0.9906
0.05,0.9846
0.07500000000000001,0.9765999999999998
0.1,0.9688000000000001
0.125,0.9546999999999999
0.15000000000000002,0.9384000000000002
0.17500000000000002,0.9218999999999999
0.2,0.9034000000000002
0.225,0.8763000000000002
0.25,0.8501000000000003
0.275,0.8143000000000002
0.30000000000000004,0.7816000000000002
0.325,0.7427000000000001
0.35000000000000003,0.7071999999999999
0.375,0.6681999999999997
0.4,0.6318999999999999
0.42500000000000004,0.5884999999999999
0.45,0.5505000000000002
0.47500000000000003,0.5216000000000001
0.5,0.4888000000000002
0.525,0.45810000000000006
0.55,0.42200000000000015
0.5750000000000001,0.3952000000000001
0.6000000000000001,0.3680000000000001
0.625,0.34680000000000005
0.65,0.3267999999999999
0.675,0.2960000000000001
0.7000000000000001,0.2863
0.7250000000000001,0.2754
0.75,0.2518
0.775,0.2291
0.8,0.22600000000000003
