Epsilon,RS30
0.0,0.9869999999999999
0.025,0.9835999999999998
0.05,0.9801
0.07500000000000001,0.9762999999999995
0.1,0.9715999999999999
0.125,0.9673999999999998
0.15000000000000002,0.9612999999999999
0.17500000000000002,0.9551999999999999
0.2,0.9487
0.225,0.9421999999999999
0.25,0.9337
0.275,0.9238000000000003
0.30000000000000004,0.9049000000000001
0.325,0.6550999999999998
0.35000000000000003,0.08340000000000004
0.375,0.016500000000000008
0.4,0.0022
0.42500000000000004,0.0002
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
