Epsilon,RB30
0.0,0.9848999999999999
0.025,0.9812
0.05,0.9777999999999997
0.07500000000000001,0.9742999999999998
0.1,0.9705999999999996
0.125,0.9666
0.15000000000000002,0.9631000000000001
0.17500000000000002,0.9591000000000001
0.2,0.9562999999999999
0.225,0.9528000000000002
0.25,0.9490999999999994
0.275,0.9464999999999998
0.30000000000000004,0.9425000000000001
0.325,0.9379000000000002
0.35000000000000003,0.9292
0.375,0.9139000000000003
0.4,0.8902000000000001
0.42500000000000004,0.8585
0.45,0.8177999999999999
0.47500000000000003,0.7751
0.5,0.7292000000000002
0.525,0.6839000000000001
0.55,0.6422000000000001
0.5750000000000001,0.6022
0.6000000000000001,0.5667999999999999
0.625,0.5395000000000001
0.65,0.5149
0.675,0.49280000000000007
0.7000000000000001,0.48480000000000006
0.7250000000000001,0.4845999999999999
0.75,0.48469999999999996
0.775,0.4850999999999998
0.8,0.48489999999999983
