Epsilon,SENN_0_01
0.0,0.9720000000000001
0.025,0.9525999999999997
0.05,0.9191000000000003
0.07500000000000001,0.8687000000000002
0.1,0.7888000000000002
0.125,0.6698
0.15000000000000002,0.5153000000000001
0.17500000000000002,0.35230000000000006
0.2,0.22140000000000004
0.225,0.11700000000000003
0.25,0.051700000000000024
0.275,0.02050000000000001
0.30000000000000004,0.007600000000000003
0.325,0.003500000000000001
0.35000000000000003,0.0009000000000000001
0.375,0.0001
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
