Epsilon,RS30
0.0,0.9870000000000001
0.025,0.9837
0.05,0.9807
0.07500000000000001,0.977
0.1,0.9736
0.125,0.9700000000000001
0.15000000000000002,0.9656
0.17500000000000002,0.9613000000000002
0.2,0.9575999999999999
0.225,0.9529000000000002
0.25,0.9485000000000001
0.275,0.9449000000000003
0.30000000000000004,0.9403000000000004
0.325,0.9286
0.35000000000000003,0.907
0.375,0.8706999999999999
0.4,0.8211999999999999
0.42500000000000004,0.7505
0.45,0.6755999999999999
0.47500000000000003,0.6055999999999998
0.5,0.5351999999999999
0.525,0.46939999999999993
0.55,0.41419999999999996
0.5750000000000001,0.36239999999999994
0.6000000000000001,0.31440000000000007
0.625,0.2778
0.65,0.2448
0.675,0.22010000000000005
0.7000000000000001,0.21230000000000007
0.7250000000000001,0.21150000000000002
0.75,0.21150000000000002
0.775,0.21169999999999994
0.8,0.21200000000000002
