Epsilon,S30,B30,RS30,RB30,FTB30n,FTB30p
0.0,0.9916999999999996,0.9925999999999998,0.9869999999999999,0.9849,0.9838000000000001,0.9841999999999997
0.025,0.6599999999999999,0.8144000000000002,0.9836,0.9813000000000001,0.9502,0.9372999999999999
0.05,0.4746,0.595,0.9811000000000002,0.9790999999999999,0.9442000000000002,0.9523000000000001
0.07500000000000001,0.2951,0.45120000000000016,0.9784000000000003,0.9753000000000001,0.9502999999999998,0.9571
0.1,0.2587999999999999,0.35140000000000005,0.9742999999999997,0.9725999999999999,0.9479999999999998,0.9583
0.125,0.26949999999999996,0.28400000000000003,0.9714999999999998,0.9707000000000001,0.9493,0.9583999999999998
0.15000000000000002,0.25649999999999995,0.23300000000000004,0.9682000000000002,0.9690000000000003,0.9483,0.9573000000000003
0.17500000000000002,0.2278,0.17999999999999994,0.9655000000000002,0.9663999999999998,0.9454,0.9567
0.2,0.20250000000000004,0.13300000000000003,0.9632,0.9663999999999999,0.9434000000000002,0.9555
0.225,0.1785,0.10760000000000006,0.9603999999999999,0.9618,0.9456999999999998,0.9551999999999999
0.25,0.1645,0.09210000000000004,0.9565999999999999,0.9610000000000001,0.9407999999999997,0.9526
0.275,0.13840000000000005,0.07940000000000005,0.9522999999999999,0.9592,0.9362000000000001,0.9478000000000002
0.30000000000000004,0.12270000000000003,0.07430000000000005,0.9397999999999997,0.9542999999999999,0.9312000000000002,0.9421000000000002
0.325,0.11160000000000003,0.07300000000000004,0.8002,0.9138000000000004,0.8344000000000001,0.8149000000000001
0.35000000000000003,0.09660000000000006,0.07620000000000003,0.17760000000000004,0.6702999999999999,0.42600000000000005,0.4293000000000001
0.375,0.08700000000000005,0.07550000000000004,0.05180000000000003,0.2582,0.17230000000000004,0.16489999999999996
0.4,0.08200000000000005,0.07320000000000003,0.03640000000000002,0.10710000000000006,0.08980000000000005,0.07120000000000004
0.42500000000000004,0.07490000000000005,0.07450000000000004,0.036200000000000024,0.08500000000000005,0.04700000000000003,0.037200000000000025
0.45,0.06390000000000004,0.07610000000000003,0.032000000000000015,0.08460000000000004,0.03190000000000002,0.029000000000000015
0.47500000000000003,0.061800000000000035,0.07630000000000005,0.032000000000000015,0.08480000000000004,0.030800000000000015,0.024900000000000016
0.5,0.05590000000000004,0.07770000000000005,0.029500000000000016,0.08350000000000005,0.027400000000000018,0.024200000000000013
0.525,0.05530000000000003,0.07580000000000003,0.027600000000000013,0.08030000000000005,0.026900000000000014,0.024300000000000013
0.55,0.050800000000000026,0.07820000000000003,0.027100000000000013,0.07600000000000004,0.02140000000000001,0.02310000000000001
0.5750000000000001,0.05410000000000004,0.07540000000000005,0.021400000000000013,0.07250000000000004,0.023900000000000015,0.024100000000000014
0.6000000000000001,0.04900000000000003,0.07710000000000003,0.02040000000000001,0.06610000000000003,0.02370000000000001,0.021900000000000013
0.625,0.05320000000000004,0.07770000000000005,0.01880000000000001,0.06050000000000003,0.023000000000000013,0.02080000000000001
0.65,0.05120000000000002,0.07850000000000004,0.012500000000000006,0.052000000000000025,0.024300000000000016,0.02110000000000001
0.675,0.05120000000000002,0.07730000000000004,0.01860000000000001,0.04480000000000002,0.07440000000000005,0.02030000000000001
0.7000000000000001,0.05140000000000002,0.08000000000000004,0.019600000000000013,0.08520000000000005,0.09190000000000006,0.05940000000000003
0.7250000000000001,0.04850000000000003,0.07780000000000004,0.02430000000000001,0.08940000000000005,0.09300000000000005,0.05950000000000003
0.75,0.049100000000000026,0.07630000000000005,0.02530000000000001,0.08670000000000004,0.09320000000000005,0.06470000000000004
0.775,0.05160000000000002,0.07630000000000003,0.024900000000000012,0.08460000000000004,0.09480000000000006,0.06120000000000003
0.8,0.051700000000000024,0.07680000000000003,0.02250000000000001,0.08740000000000005,0.09480000000000005,0.05630000000000002
