Epsilon,FTB30p
0.0,0.9843
0.025,0.7561000000000001
0.05,0.5697000000000001
0.07500000000000001,0.5434
0.1,0.5125000000000001
0.125,0.47470000000000007
0.15000000000000002,0.43610000000000004
0.17500000000000002,0.4032
0.2,0.3682
0.225,0.33330000000000004
0.25,0.29650000000000004
0.275,0.25449999999999995
0.30000000000000004,0.21989999999999998
0.325,0.11300000000000006
0.35000000000000003,0.01930000000000001
0.375,0.0007
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
