Epsilon,FTB30n
0.0,0.9837999999999998
0.025,0.8859
0.05,0.8142000000000001
0.07500000000000001,0.7851000000000001
0.1,0.7726999999999999
0.125,0.7685999999999998
0.15000000000000002,0.7659999999999999
0.17500000000000002,0.7644
0.2,0.7636999999999999
0.225,0.7628999999999999
0.25,0.7622
0.275,0.7607999999999999
0.30000000000000004,0.7602999999999998
0.325,0.7583999999999999
0.35000000000000003,0.7513000000000001
0.375,0.7335
0.4,0.7116
0.42500000000000004,0.6838
0.45,0.6558999999999997
0.47500000000000003,0.6334999999999998
0.5,0.6138000000000001
0.525,0.5986999999999998
0.55,0.5902
0.5750000000000001,0.5841
0.6000000000000001,0.5811999999999999
0.625,0.5792999999999999
0.65,0.578
0.675,0.5776
0.7000000000000001,0.5773000000000001
0.7250000000000001,0.5773000000000001
0.75,0.5773000000000001
0.775,0.5773000000000001
0.8,0.5772
