Epsilon,FTB30n
0.0,0.9838000000000001
0.025,0.9303999999999999
0.05,0.9295
0.07500000000000001,0.9408
0.1,0.9453999999999999
0.125,0.9479999999999998
0.15000000000000002,0.9473
0.17500000000000002,0.9476000000000002
0.2,0.9446999999999998
0.225,0.9436000000000002
0.25,0.9411999999999999
0.275,0.9401999999999999
0.30000000000000004,0.9368000000000002
0.325,0.9274000000000001
0.35000000000000003,0.8943000000000001
0.375,0.8197000000000001
0.4,0.6742999999999999
0.42500000000000004,0.48610000000000025
0.45,0.32190000000000013
0.47500000000000003,0.19129999999999997
0.5,0.10720000000000003
0.525,0.05690000000000003
0.55,0.030600000000000016
0.5750000000000001,0.013500000000000007
0.6000000000000001,0.006000000000000003
0.625,0.0013000000000000002
0.65,0.0009000000000000001
0.675,0.0004
0.7000000000000001,0.0002
0.7250000000000001,0.0001
0.75,0.0002
0.775,0.0002
0.8,0.0002
