Epsilon,ProtoVAE
0.0,0.9915999999999998
0.025,0.9833000000000001
0.05,0.9627000000000001
0.07500000000000001,0.8934
0.1,0.7295999999999998
0.125,0.5529
0.15000000000000002,0.44770000000000004
0.17500000000000002,0.3522
0.2,0.28090000000000004
0.225,0.2278
0.25,0.18360000000000004
0.275,0.1447
0.30000000000000004,0.10750000000000004
0.325,0.04390000000000002
0.35000000000000003,0.011000000000000006
0.375,0.006800000000000003
0.4,0.004200000000000001
0.42500000000000004,0.004000000000000002
0.45,0.004000000000000002
0.47500000000000003,0.005300000000000002
0.5,0.006400000000000003
0.525,0.006700000000000003
0.55,0.006300000000000003
0.5750000000000001,0.006900000000000003
0.6000000000000001,0.007600000000000004
0.625,0.010800000000000008
0.65,0.011800000000000005
0.675,0.014100000000000007
0.7000000000000001,0.015600000000000008
0.7250000000000001,0.018800000000000008
0.75,0.022600000000000012
0.775,0.027500000000000014
0.8,0.028500000000000015
