Epsilon,RS30
0.0,0.9869999999999999
0.025,0.9836999999999995
0.05,0.9799999999999998
0.07500000000000001,0.9762000000000002
0.1,0.9714000000000004
0.125,0.9660999999999997
0.15000000000000002,0.9609
0.17500000000000002,0.9531999999999998
0.2,0.9469999999999995
0.225,0.9382999999999997
0.25,0.9286999999999999
0.275,0.9164
0.30000000000000004,0.8926000000000002
0.325,0.49779999999999996
0.35000000000000003,0.030800000000000015
0.375,0.002500000000000001
0.4,0.00030000000000000003
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
