Epsilon,ProtoVAE
0.0,0.9915999999999998
0.025,0.9831
0.05,0.9652
0.07500000000000001,0.9247000000000002
0.1,0.8553000000000001
0.125,0.767
0.15000000000000002,0.6848
0.17500000000000002,0.6265999999999998
0.2,0.5906
0.225,0.5600999999999999
0.25,0.5382000000000001
0.275,0.5186000000000001
0.30000000000000004,0.5015999999999998
0.325,0.4856000000000001
0.35000000000000003,0.4694999999999999
0.375,0.45099999999999996
0.4,0.43020000000000014
0.42500000000000004,0.4092000000000001
0.45,0.3875000000000002
0.47500000000000003,0.3597000000000001
0.5,0.3321
0.525,0.30600000000000005
0.55,0.28150000000000003
0.5750000000000001,0.26170000000000004
0.6000000000000001,0.24669999999999997
0.625,0.23150000000000004
0.65,0.21400000000000002
0.675,0.1943
0.7000000000000001,0.1757
0.7250000000000001,0.1592
0.75,0.14339999999999997
0.775,0.13450000000000004
0.8,0.1268
