Epsilon,FTB30n
0.0,0.9837999999999998
0.025,0.9079000000000003
0.05,0.8657999999999999
0.07500000000000001,0.8857999999999997
0.1,0.8976999999999998
0.125,0.9035000000000002
0.15000000000000002,0.9
0.17500000000000002,0.8956000000000002
0.2,0.8877
0.225,0.8800000000000001
0.25,0.8705000000000002
0.275,0.8602000000000001
0.30000000000000004,0.8424999999999999
0.325,0.6549999999999999
0.35000000000000003,0.1882
0.375,0.04000000000000002
0.4,0.005500000000000002
0.42500000000000004,0.0005
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
