Epsilon,ProtoVAE
0.0,0.9915999999999998
0.025,0.9831999999999999
0.05,0.9622999999999999
0.07500000000000001,0.8876000000000002
0.1,0.7003000000000001
0.125,0.5129000000000002
0.15000000000000002,0.3934000000000001
0.17500000000000002,0.2992
0.2,0.23520000000000002
0.225,0.1923
0.25,0.1518
0.275,0.11190000000000007
0.30000000000000004,0.045900000000000024
0.325,0.01280000000000001
0.35000000000000003,0.006300000000000003
0.375,0.0036000000000000016
0.4,0.0029000000000000015
0.42500000000000004,0.0018000000000000006
0.45,0.0016000000000000003
0.47500000000000003,0.0016000000000000007
0.5,0.0012000000000000001
0.525,0.0014000000000000002
0.55,0.0018000000000000006
0.5750000000000001,0.0017000000000000006
0.6000000000000001,0.002300000000000001
0.625,0.0017000000000000008
0.65,0.002000000000000001
0.675,0.002300000000000001
0.7000000000000001,0.003700000000000001
0.7250000000000001,0.003100000000000001
0.75,0.0039000000000000016
0.775,0.005800000000000003
0.8,0.006900000000000003
