Epsilon,FTB30p
0.0,0.9841999999999997
0.025,0.9848999999999997
0.05,0.9819999999999999
0.07500000000000001,0.9823000000000001
0.1,0.9829000000000001
0.125,0.9817999999999996
0.15000000000000002,0.9819999999999999
0.17500000000000002,0.9828999999999996
0.2,0.9814999999999998
0.225,0.9811
0.25,0.9806000000000001
0.275,0.9823000000000002
0.30000000000000004,0.9813999999999998
0.325,0.9809000000000001
0.35000000000000003,0.9807000000000002
0.375,0.9801
0.4,0.9780999999999999
0.42500000000000004,0.976
0.45,0.9733000000000004
0.47500000000000003,0.9676999999999998
0.5,0.9603999999999999
0.525,0.9450000000000001
0.55,0.9217000000000001
0.5750000000000001,0.8869
0.6000000000000001,0.8459000000000001
0.625,0.788
0.65,0.7277
0.675,0.6660999999999998
0.7000000000000001,0.6101999999999999
0.7250000000000001,0.5567999999999999
0.75,0.5127000000000002
0.775,0.46990000000000015
0.8,0.4283000000000001
