Epsilon,RB30
0.0,0.9848999999999994
0.025,0.9807999999999998
0.05,0.9771999999999996
0.07500000000000001,0.9729000000000001
0.1,0.9683999999999997
0.125,0.9626999999999999
0.15000000000000002,0.9577999999999998
0.17500000000000002,0.9514000000000001
0.2,0.9452999999999999
0.225,0.9399
0.25,0.9333000000000002
0.275,0.9253
0.30000000000000004,0.9190000000000002
0.325,0.9093
0.35000000000000003,0.8971000000000002
0.375,0.8855999999999999
0.4,0.8710000000000001
0.42500000000000004,0.8567999999999998
0.45,0.8365
0.47500000000000003,0.8117000000000001
0.5,0.7806000000000002
0.525,0.7429999999999999
0.55,0.6972
0.5750000000000001,0.6320999999999998
0.6000000000000001,0.5576999999999999
0.625,0.47520000000000007
0.65,0.38970000000000005
0.675,0.3358000000000001
0.7000000000000001,0.31610000000000005
0.7250000000000001,0.3154
0.75,0.3148
0.775,0.31470000000000004
0.8,0.31450000000000006
