Epsilon,RB30
0.0,0.9848999999999999
0.025,0.9811
0.05,0.9777999999999999
0.07500000000000001,0.9734999999999999
0.1,0.9683999999999997
0.125,0.9641000000000002
0.15000000000000002,0.9580000000000002
0.17500000000000002,0.9522999999999999
0.2,0.9451999999999998
0.225,0.9388
0.25,0.9322000000000001
0.275,0.9245000000000001
0.30000000000000004,0.9104000000000001
0.325,0.8157
0.35000000000000003,0.46000000000000024
0.375,0.10620000000000007
0.4,0.011100000000000006
0.42500000000000004,0.0020000000000000005
0.45,0.0001
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
