Epsilon,RB30
0.0,0.9849000000000002
0.025,0.9810999999999999
0.05,0.9776999999999999
0.07500000000000001,0.9733000000000003
0.1,0.9686999999999999
0.125,0.9640000000000001
0.15000000000000002,0.9583999999999999
0.17500000000000002,0.9521
0.2,0.9451999999999998
0.225,0.9372999999999999
0.25,0.9296999999999999
0.275,0.9218999999999999
0.30000000000000004,0.9108000000000003
0.325,0.8927999999999999
0.35000000000000003,0.8635000000000002
0.375,0.7785
0.4,0.6083999999999999
0.42500000000000004,0.5121
0.45,0.4104000000000001
0.47500000000000003,0.3216000000000001
0.5,0.22359999999999997
0.525,0.07160000000000002
0.55,0.06510000000000003
0.5750000000000001,0.052900000000000016
0.6000000000000001,0.04240000000000002
0.625,0.03550000000000002
0.65,0.034900000000000014
0.675,0.028500000000000015
0.7000000000000001,0.032300000000000016
0.7250000000000001,0.033700000000000015
0.75,0.013700000000000007
0.775,0.0009000000000000001
0.8,0.0018000000000000006
