Epsilon,FTB30p
0.0,0.9843
0.025,0.8728000000000004
0.05,0.9013
0.07500000000000001,0.9304
0.1,0.9386999999999996
0.125,0.9448000000000002
0.15000000000000002,0.9416
0.17500000000000002,0.9364000000000002
0.2,0.9311999999999999
0.225,0.9221
0.25,0.9167000000000002
0.275,0.9059000000000001
0.30000000000000004,0.8954999999999999
0.325,0.7182999999999998
0.35000000000000003,0.28479999999999994
0.375,0.07530000000000003
0.4,0.011100000000000006
0.42500000000000004,0.0018000000000000006
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
