Epsilon,ProtoVAE
0.0,0.9915999999999998
0.025,0.9833999999999999
0.05,0.9640999999999998
0.07500000000000001,0.9126000000000005
0.1,0.8229000000000001
0.125,0.7109
0.15000000000000002,0.6310999999999998
0.17500000000000002,0.5787
0.2,0.5397000000000001
0.225,0.5098
0.25,0.4817
0.275,0.45310000000000017
0.30000000000000004,0.41950000000000004
0.325,0.3715000000000001
0.35000000000000003,0.31989999999999996
0.375,0.27270000000000005
0.4,0.22160000000000007
0.42500000000000004,0.1685
0.45,0.12590000000000004
0.47500000000000003,0.10240000000000007
0.5,0.08480000000000004
0.525,0.07060000000000002
0.55,0.06140000000000003
0.5750000000000001,0.05210000000000002
0.6000000000000001,0.04420000000000003
0.625,0.039800000000000016
0.65,0.03610000000000002
0.675,0.03370000000000002
0.7000000000000001,0.032000000000000015
0.7250000000000001,0.030700000000000015
0.75,0.029500000000000016
0.775,0.029500000000000016
0.8,0.02830000000000002
