Epsilon,RS30
0.0,0.9869999999999998
0.025,0.9855999999999998
0.05,0.9839999999999998
0.07500000000000001,0.9819999999999997
0.1,0.9810999999999999
0.125,0.9799999999999998
0.15000000000000002,0.9778999999999998
0.17500000000000002,0.9749000000000001
0.2,0.9736999999999998
0.225,0.9709999999999999
0.25,0.9678999999999999
0.275,0.9653999999999998
0.30000000000000004,0.9614
0.325,0.9513
0.35000000000000003,0.9030000000000001
0.375,0.7510000000000001
0.4,0.4397000000000001
0.42500000000000004,0.2101
0.45,0.09250000000000005
0.47500000000000003,0.03840000000000002
0.5,0.012200000000000008
0.525,0.006400000000000003
0.55,0.0018000000000000008
0.5750000000000001,0.0007
0.6000000000000001,0.0001
0.625,0.0001
0.65,0.0
0.675,0.0001
0.7000000000000001,0.0002
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
