Epsilon,ProtoVAE
0.0,0.9915999999999998
0.025,0.9864999999999998
0.05,0.9811
0.07500000000000001,0.9684999999999999
0.1,0.9435
0.125,0.8921000000000001
0.15000000000000002,0.7978999999999999
0.17500000000000002,0.6734
0.2,0.5589999999999999
0.225,0.47309999999999997
0.25,0.39800000000000013
0.275,0.3275
0.30000000000000004,0.27290000000000003
0.325,0.2312
0.35000000000000003,0.19619999999999999
0.375,0.16840000000000005
0.4,0.14980000000000002
0.42500000000000004,0.13350000000000004
0.45,0.12050000000000001
0.47500000000000003,0.11020000000000005
0.5,0.10420000000000007
0.525,0.09650000000000006
0.55,0.08460000000000004
0.5750000000000001,0.06720000000000004
0.6000000000000001,0.04270000000000003
0.625,0.02280000000000001
0.65,0.011000000000000006
0.675,0.006500000000000003
0.7000000000000001,0.005300000000000001
0.7250000000000001,0.006200000000000002
0.75,0.007200000000000003
0.775,0.009100000000000006
0.8,0.010900000000000007
