Epsilon,RB30
0.0,0.9849
0.025,0.9811000000000003
0.05,0.9775999999999996
0.07500000000000001,0.9734
0.1,0.9690999999999997
0.125,0.9640000000000001
0.15000000000000002,0.959
0.17500000000000002,0.9527000000000001
0.2,0.9465999999999999
0.225,0.9395999999999999
0.25,0.9332000000000003
0.275,0.9266000000000002
0.30000000000000004,0.9173000000000002
0.325,0.9035
0.35000000000000003,0.8804000000000002
0.375,0.8448
0.4,0.7948999999999999
0.42500000000000004,0.7301
0.45,0.6491999999999999
0.47500000000000003,0.5677
0.5,0.49400000000000005
0.525,0.4248000000000002
0.55,0.3585000000000001
0.5750000000000001,0.30049999999999993
0.6000000000000001,0.25060000000000004
0.625,0.20779999999999998
0.65,0.1686
0.675,0.13380000000000003
0.7000000000000001,0.10670000000000006
0.7250000000000001,0.09670000000000006
0.75,0.08960000000000005
0.775,0.08150000000000004
0.8,0.07660000000000003
