Epsilon,ProtoVAE
0.0,0.9915999999999998
0.025,0.9835000000000003
0.05,0.9667000000000001
0.07500000000000001,0.9332
0.1,0.8775000000000002
0.125,0.8036
0.15000000000000002,0.723
0.17500000000000002,0.6684999999999997
0.2,0.634
0.225,0.6075999999999999
0.25,0.5879000000000001
0.275,0.5718999999999999
0.30000000000000004,0.5529
0.325,0.5200999999999999
0.35000000000000003,0.4636000000000001
0.375,0.40730000000000005
0.4,0.35530000000000006
0.42500000000000004,0.3113
0.45,0.2757
0.47500000000000003,0.24139999999999998
0.5,0.2076
0.525,0.17200000000000001
0.55,0.1413
0.5750000000000001,0.12380000000000005
0.6000000000000001,0.11000000000000001
0.625,0.09940000000000006
0.65,0.09400000000000006
0.675,0.08950000000000005
0.7000000000000001,0.08740000000000005
0.7250000000000001,0.08690000000000003
0.75,0.08720000000000003
0.775,0.08790000000000003
0.8,0.08820000000000003
