Epsilon,FTB30n
0.0,0.9837999999999999
0.025,0.9469
0.05,0.9541999999999999
0.07500000000000001,0.9511
0.1,0.9484999999999998
0.125,0.9446000000000001
0.15000000000000002,0.9401999999999999
0.17500000000000002,0.9355
0.2,0.9325999999999999
0.225,0.9285000000000002
0.25,0.9272
0.275,0.9232999999999999
0.30000000000000004,0.9205
0.325,0.9069000000000003
0.35000000000000003,0.8439
0.375,0.7213999999999999
0.4,0.5519000000000001
0.42500000000000004,0.40680000000000016
0.45,0.31470000000000004
0.47500000000000003,0.2524
0.5,0.1961
0.525,0.1563
0.55,0.12720000000000004
0.5750000000000001,0.11400000000000003
0.6000000000000001,0.10710000000000006
0.625,0.10340000000000005
0.65,0.10090000000000006
0.675,0.10100000000000006
0.7000000000000001,0.10060000000000006
0.7250000000000001,0.10070000000000005
0.75,0.10110000000000005
0.775,0.10100000000000006
0.8,0.10080000000000007
