Epsilon,B30
0.0,0.9925999999999998
0.025,0.8728000000000001
0.05,0.6729
0.07500000000000001,0.417
0.1,0.21140000000000003
0.125,0.09340000000000007
0.15000000000000002,0.035700000000000016
0.17500000000000002,0.013600000000000004
0.2,0.006200000000000002
0.225,0.0026000000000000016
0.25,0.0015000000000000007
0.275,0.0006000000000000001
0.30000000000000004,0.00030000000000000003
0.325,0.00030000000000000003
0.35000000000000003,0.0001
0.375,0.0002
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0001
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
