Epsilon,B30
0.0,0.9925999999999998
0.025,0.9119000000000004
0.05,0.8216000000000001
0.07500000000000001,0.6940999999999999
0.1,0.5505
0.125,0.4073000000000001
0.15000000000000002,0.2884
0.17500000000000002,0.20539999999999997
0.2,0.1561
0.225,0.1277
0.25,0.11000000000000003
0.275,0.10270000000000006
0.30000000000000004,0.09560000000000005
0.325,0.09250000000000005
0.35000000000000003,0.08910000000000005
0.375,0.08940000000000006
0.4,0.08700000000000005
0.42500000000000004,0.08640000000000005
0.45,0.08650000000000005
0.47500000000000003,0.08720000000000004
0.5,0.08730000000000004
0.525,0.08710000000000004
0.55,0.08810000000000004
0.5750000000000001,0.08840000000000005
0.6000000000000001,0.08920000000000006
0.625,0.08890000000000006
0.65,0.08980000000000005
0.675,0.09040000000000005
0.7000000000000001,0.09000000000000005
0.7250000000000001,0.09030000000000005
0.75,0.09030000000000005
0.775,0.08990000000000005
0.8,0.08990000000000005
