Epsilon,SENN_0_01
0.0,0.9720000000000001
0.025,0.9507999999999998
0.05,0.9122000000000001
0.07500000000000001,0.8547
0.1,0.7682999999999998
0.125,0.6500999999999998
0.15000000000000002,0.5098
0.17500000000000002,0.3568000000000001
0.2,0.24689999999999998
0.225,0.1557
0.25,0.09010000000000004
0.275,0.048700000000000035
0.30000000000000004,0.02630000000000001
0.325,0.012100000000000005
0.35000000000000003,0.007100000000000004
0.375,0.003300000000000001
0.4,0.0016000000000000003
0.42500000000000004,0.001
0.45,0.0006000000000000001
0.47500000000000003,0.00030000000000000003
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
