Epsilon,FTB30n
0.0,0.9837999999999999
0.025,0.9816
0.05,0.9765000000000003
0.07500000000000001,0.9751999999999997
0.1,0.9774
0.125,0.9772000000000001
0.15000000000000002,0.978
0.17500000000000002,0.9788999999999998
0.2,0.9788999999999997
0.225,0.9789999999999999
0.25,0.9774999999999997
0.275,0.9789999999999999
0.30000000000000004,0.9790000000000004
0.325,0.9787999999999999
0.35000000000000003,0.9776999999999993
0.375,0.9785
0.4,0.9776999999999999
0.42500000000000004,0.9751000000000003
0.45,0.9720000000000001
0.47500000000000003,0.9652999999999997
0.5,0.9589000000000002
0.525,0.9397000000000002
0.55,0.9100000000000001
0.5750000000000001,0.8679
0.6000000000000001,0.8191999999999998
0.625,0.7576999999999998
0.65,0.6973
0.675,0.6318999999999998
0.7000000000000001,0.5599999999999999
0.7250000000000001,0.5194
0.75,0.47479999999999994
0.775,0.43500000000000005
0.8,0.39900000000000013
